LocationID,Borough,Zone,service_zone,latitude,longitude
1,EWR,Newark Airport,EWR,40.69287997,-74.18544993
2,Queens,Jamaica Bay,Boro Zone,40.6057,-73.8713
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.86521003,-73.8435548
4,Manhattan,Alphabet City,Yellow Zone,40.72599,-73.98057
5,Staten Island,Arden Heights,Boro Zone,40.5564,-74.1735
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.5927,-74.07
7,Queens,Astoria,Boro Zone,40.7644,-73.9235
8,Queens,Astoria Park,Boro Zone,40.7785,-73.9228
9,Queens,Auburndale,Boro Zone,40.7578,-73.7834
10,Queens,Baisley Park,Boro Zone,40.6738,-73.786
11,Brooklyn,Bath Beach,Boro Zone,40.60437,-74.00485
12,Manhattan,Battery Park,Yellow Zone,40.7031,-74.016
13,Manhattan,Battery Park City,Yellow Zone,40.71131,-74.0159
14,Brooklyn,Bay Ridge,Boro Zone,40.6264,-74.0299
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.7814,-73.7782
16,Queens,Bayside,Boro Zone,40.7586,-73.7654
17,Brooklyn,Bedford,Boro Zone,40.6872,-73.9418
18,Bronx,Bedford Park,Boro Zone,40.8701,-73.8857
19,Queens,Bellerose,Boro Zone,40.72304,-73.71546
20,Bronx,Belmont,Boro Zone,40.8535,-73.8894
21,Brooklyn,Bensonhurst East,Boro Zone,40.61247,-73.99364
22,Brooklyn,Bensonhurst West,Boro Zone,40.59173066,-73.97044893
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.6157,-74.1792
24,Manhattan,Bloomingdale,Yellow Zone,40.7989,-73.9698
25,Brooklyn,Boerum Hill,Boro Zone,40.68372,-73.98179
26,Brooklyn,Borough Park,Boro Zone,40.635,-73.9921
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.5609,-73.9155
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.70213116,-73.81062276
29,Brooklyn,Brighton Beach,Boro Zone,40.57795,-73.9601
30,Queens,Broad Channel,Boro Zone,40.6158,-73.8213
31,Bronx,Bronx Park,Boro Zone,40.85419,-73.87146
32,Bronx,Bronxdale,Boro Zone,40.85008,-73.86683
33,Brooklyn,Brooklyn Heights,Boro Zone,40.6959,-73.9956
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.723,-73.95309
35,Brooklyn,Brownsville,Boro Zone,40.6652,-73.9125
36,Brooklyn,Bushwick North,Boro Zone,40.697,-73.917
37,Brooklyn,Bushwick South,Boro Zone,40.6958,-73.9171
38,Queens,Cambria Heights,Boro Zone,40.69254,-73.73185
